nodeId;realId;label;embedding
11837;104;0;[0.731451690196991,-0.5854427218437195,-0.6094724535942078,-0.9584743976593018,0.8275124430656433,-0.8646969199180603,-0.06537900865077972,-0.21831262111663818,-0.3222476541996002,-0.23604917526245117]
11838;105;0;[0.8462173342704773,-0.24785681068897247,0.02725258283317089,-1.5573183298110962,1.2549692392349243,-0.6517781019210815,0.48773062229156494,0.6597396731376648,0.07902791351079941,-0.15973873436450958]
11839;106;0;[0.4657970666885376,-0.5670256018638611,0.2268970012664795,-0.2888205051422119,0.7718451023101807,-0.9647300243377686,0.06345099955797195,-0.36177942156791687,-0.20144258439540863,0.3280670642852783]
11840;107;0;[0.4050595462322235,-1.563497543334961,-0.3792494237422943,-0.6908695697784424,1.2014802694320679,-1.0592691898345947,0.6445581912994385,0.12404073029756546,-0.0853240042924881,0.13725852966308594]
11841;108;0;[0.9079519510269165,-0.5868522524833679,-0.6647211313247681,-1.4668734073638916,0.7964620590209961,-1.5376343727111816,0.9577375650405884,0.26643770933151245,-0.3721109628677368,-0.1850077211856842]
11842;109;0;[0.0778704285621643,-0.3851250410079956,-0.11492320895195007,-1.4296796321868896,1.2573837041854858,-1.6705235242843628,0.6358056664466858,0.5552914142608643,-1.4037548303604126,-0.06383387744426727]
11843;110;0;[0.520404040813446,-0.7914634943008423,-0.5760200619697571,-1.321164846420288,1.3271071910858154,-0.9076724052429199,0.40402841567993164,0.5109807848930359,-0.026242170482873917,-0.3213263154029846]
11844;111;0;[0.9141412973403931,-0.38903671503067017,-0.6831601858139038,-1.0723766088485718,1.1029068231582642,-1.2533491849899292,0.01072019711136818,-0.030749348923563957,-0.5929661989212036,-0.4616517424583435]
11845;112;0;[0.3367282748222351,-0.7021626234054565,-0.2928978502750397,-1.6513681411743164,0.7512909173965454,-0.7774744033813477,0.13672591745853424,0.1918109506368637,-0.3577836751937866,0.1672690510749817]
11846;113;0;[1.325850486755371,-0.33308154344558716,-0.5392813682556152,-1.0841926336288452,1.0946370363235474,-0.7435457110404968,0.22578205168247223,-0.042458392679691315,-0.18846966326236725,-0.6135382056236267]
11847;114;0;[0.14227135479450226,-0.7492785453796387,0.2738766372203827,-0.6606215834617615,1.6476469039916992,-1.620548129081726,0.9549116492271423,-0.3576385974884033,-0.7236262559890747,-0.2730069160461426]
11848;115;0;[0.3358144462108612,-1.4880878925323486,0.5598205327987671,-0.8166813850402832,0.6096804141998291,-1.0779370069503784,0.6837251782417297,0.9326078295707703,0.07410754263401031,-0.7795247435569763]
11849;116;0;[0.47100725769996643,-0.5318359136581421,-0.8808258175849915,-0.4834057092666626,1.1706117391586304,-1.0824880599975586,-0.06021178513765335,0.46849486231803894,-0.5801594257354736,0.22204400599002838]
11850;119;0;[0.3595693111419678,-1.3497443199157715,-0.8132032155990601,-0.6764649152755737,1.5332177877426147,-1.1831064224243164,0.37414371967315674,0.45468753576278687,-0.4872306287288666,-0.28840988874435425]
11851;120;0;[0.6147536635398865,-0.6123768091201782,0.4396040737628937,-0.03811132535338402,0.740458607673645,-1.118617057800293,1.3920994997024536,0.3017676770687103,-0.6763207316398621,0.5596932768821716]
11852;122;0;[0.2736913859844208,-0.105996273458004,0.1617702692747116,-0.7173236608505249,1.1608253717422485,-1.4096647500991821,1.115379810333252,0.3622760772705078,-0.5179915428161621,0.04077232629060745]
11853;125;0;[0.5982944965362549,-0.8009667992591858,-0.5273097157478333,-1.264304518699646,1.4114067554473877,-0.9909784197807312,0.8779303431510925,0.22105227410793304,-0.5713898539543152,-0.19746394455432892]
11854;127;0;[0.49354806542396545,-0.9935758113861084,-0.9560781121253967,-1.0503418445587158,1.6404796838760376,-1.4034056663513184,0.5421407222747803,0.9663393497467041,-0.36908647418022156,-0.048933275043964386]
11855;129;0;[0.6075166463851929,-1.456800103187561,-0.6732822060585022,-0.6642659902572632,1.9239908456802368,-0.6540426015853882,0.8294994831085205,0.41917935013771057,-0.6895496249198914,0.0886460393667221]
11856;131;0;[-0.43031132221221924,-0.9111033082008362,-0.7019764184951782,0.5543501973152161,-0.33467456698417664,-0.9646859765052795,0.43005549907684326,0.8255521059036255,-0.7124930620193481,0.5574560165405273]
11857;132;0;[1.0809651613235474,-0.36557480692863464,-0.8300527334213257,-1.090506672859192,1.5272821187973022,-1.3698896169662476,0.9987921118736267,0.49820923805236816,-0.27090027928352356,-0.26727885007858276]
11858;133;0;[0.8018136620521545,-0.2794950604438782,0.172726571559906,-0.34427976608276367,0.7039546370506287,-1.3121742010116577,0.4089343249797821,-0.3844406306743622,0.03871214762330055,-0.30518805980682373]
11859;134;0;[0.6795718669891357,-0.28152820467948914,-0.825310230255127,-1.6943395137786865,1.4820454120635986,-0.9471295475959778,0.22810004651546478,0.9268263578414917,-0.09360052645206451,0.29665637016296387]
11860;135;0;[0.3528660833835602,-1.0929220914840698,-0.004068879876285791,-0.8113872408866882,1.1131373643875122,-0.33861204981803894,-0.4528604745864868,0.16659818589687347,-0.1761520802974701,-0.06020020693540573]
11861;137;0;[0.49480581283569336,-0.2643798589706421,-0.003906583879143,-1.591001033782959,1.1761281490325928,-0.969761848449707,0.2441258281469345,0.5228908061981201,-0.46827757358551025,-0.0899609923362732]
11862;138;0;[0.75255286693573,-0.9446661472320557,-0.4029856324195862,-0.9771437644958496,1.3180848360061646,-1.2000067234039307,0.8195943236351013,0.5356068015098572,-0.45946750044822693,-0.5719948410987854]
11863;139;0;[0.5883982181549072,-0.9317163825035095,-0.866941511631012,-0.9585533142089844,1.0460127592086792,-1.1110448837280273,-0.013550001196563244,0.31892114877700806,-0.5896115303039551,0.07269628345966339]
11864;140;0;[0.8723568916320801,-0.07664338499307632,0.1498171091079712,-1.2111365795135498,0.712851345539093,-0.40384921431541443,0.2974676787853241,0.9269858002662659,-0.08994562178850174,0.3937104344367981]
11865;141;0;[0.1747124046087265,-0.7182090878486633,-0.4803399443626404,-0.6789513826370239,1.3538978099822998,-1.1968910694122314,-0.14320813119411469,0.8089873194694519,-0.0658348873257637,0.5039160847663879]
11866;142;0;[0.9111989140510559,-0.523468554019928,-0.9052216410636902,-1.6706842184066772,1.4485186338424683,-1.2362967729568481,0.6010404229164124,0.7051516771316528,-0.18231484293937683,-0.0634404718875885]
11867;143;0;[0.7392098307609558,-1.0278962850570679,-0.5705084800720215,-0.9568678140640259,0.8629298210144043,-0.9931362867355347,0.7767059803009033,0.3798859417438507,-0.08016720414161682,-0.20905934274196625]
11868;144;0;[0.8802100419998169,-0.10112477838993073,-0.6966241002082825,-1.2078067064285278,1.1103566884994507,-1.1284862756729126,0.01943141035735607,0.47928062081336975,-0.6680708527565002,-0.3018251955509186]
11869;145;0;[0.9628601670265198,-0.3926597833633423,0.07731229066848755,-0.5454830527305603,0.8186700344085693,-0.3258596360683441,0.06563527882099152,0.18507325649261475,-0.7977795004844666,-0.600219190120697]
11870;146;0;[0.3053853213787079,-0.878058135509491,0.519117534160614,0.03431801497936249,1.225489616394043,-1.8783334493637085,0.6767802238464355,-0.501699686050415,-0.08812461793422699,-0.47654929757118225]
11871;147;0;[0.8801641464233398,-0.9194445013999939,-0.34424588084220886,-1.3933286666870117,2.145009994506836,-1.5044997930526733,0.9630032777786255,0.2233029454946518,0.3541920483112335,-0.4699961245059967]
11872;148;0;[0.6880915760993958,-0.985298216342926,-0.5882659554481506,-1.5257200002670288,1.650226354598999,-1.445399522781372,1.4858860969543457,0.9042725563049316,0.2839377820491791,0.32326069474220276]
11873;149;0;[0.49246010184288025,-1.2758101224899292,-0.13323962688446045,-0.6584625840187073,1.3055469989776611,-0.8895581364631653,0.8707085251808167,-0.2819974720478058,-0.698806881904602,-0.3471639156341553]
11874;150;0;[0.8008116483688354,-0.7504273653030396,-0.8903477191925049,-0.6378061771392822,1.582811951637268,-1.1510391235351562,0.5180426836013794,0.5255313515663147,-1.4865257740020752,-0.0841449573636055]
11875;152;0;[1.4565086364746094,-0.8647517561912537,-0.6868410110473633,-0.7439591884613037,2.233851671218872,-1.400046706199646,1.2923998832702637,-0.011673207394778728,-0.17870734632015228,-0.9014586210250854]
11876;153;0;[0.9916581511497498,-0.8187816739082336,-0.9342015981674194,-1.1064844131469727,0.6715148091316223,-1.2248226404190063,0.3564303517341614,0.17307524383068085,-0.6308720707893372,-0.1033363863825798]
11877;154;0;[1.965415120124817,-1.4219424724578857,-0.716637134552002,-0.8127473592758179,2.0834479331970215,-1.532509684562683,1.1954681873321533,-0.019617773592472076,-0.39089515805244446,-1.2950443029403687]
11878;155;0;[0.8843064308166504,-1.0920701026916504,-0.4721188247203827,-1.4905821084976196,0.7444919347763062,-0.7637099623680115,0.7722378373146057,0.5453924536705017,-0.4358576238155365,-0.05081309750676155]
11879;156;0;[0.9930371046066284,-0.7759765386581421,-0.7311193346977234,-0.7931504845619202,1.5197410583496094,-1.030053734779358,0.2720503807067871,0.2068176567554474,0.014820119366049767,-0.3314599096775055]
11880;157;0;[0.5799161195755005,-0.8940057754516602,-0.41423821449279785,-1.2534868717193604,1.81919264793396,-1.040540099143982,0.7209622859954834,0.4863261580467224,0.09471461921930313,-0.23294873535633087]
11881;158;0;[1.4658836126327515,-0.5250768661499023,-1.0271848440170288,-1.2338272333145142,1.5755943059921265,-0.8377107977867126,0.324953556060791,0.1973932534456253,-0.3227306604385376,-0.5612084269523621]
11882;159;0;[1.7678877115249634,-0.07359093427658081,-1.0978825092315674,-0.8266209363937378,0.9173401594161987,-0.9461378455162048,0.3532818555831909,0.9536497592926025,-0.19818605482578278,0.5095254778862]
11883;160;0;[1.7184323072433472,-0.027519145980477333,-0.4503503441810608,-0.6245999932289124,1.4300973415374756,-0.22932294011116028,0.08128295838832855,-0.048096586018800735,-0.002882102271541953,-0.09641096740961075]
11884;161;0;[1.3356643915176392,-0.09100239723920822,-0.6875325441360474,-1.37153160572052,0.9319915771484375,-0.9832913875579834,0.46603071689605713,0.8349021077156067,-0.8150672316551208,0.15700018405914307]
11885;162;0;[1.04731023311615,-0.4682670831680298,-0.4457647502422333,-1.1536394357681274,1.6031333208084106,-0.902435302734375,0.9936388731002808,0.5218842625617981,0.07663244754076004,-0.43946966528892517]
11886;163;0;[0.7524471879005432,-0.5670264959335327,-0.31829145550727844,-0.8007963299751282,1.6876404285430908,-0.5285605192184448,0.4992077946662903,0.5915536284446716,-0.8114479780197144,-0.5028553605079651]
11887;164;0;[0.5658197999000549,-0.39084088802337646,0.4227736294269562,-1.1409834623336792,2.113679885864258,-0.7523630261421204,1.2333335876464844,0.25347423553466797,-0.5779585838317871,-0.29179635643959045]
11888;165;0;[0.5101809501647949,-1.0306060314178467,-0.2251102328300476,-0.6431042551994324,0.8195536136627197,-1.0960164070129395,0.4432084858417511,0.22644980251789093,-0.41724449396133423,-0.5502795577049255]
11889;166;0;[1.4959347248077393,-0.6333746910095215,-0.9621782302856445,-0.7268304228782654,1.5845632553100586,-1.109270691871643,0.36107727885246277,0.057164266705513,-0.4337402880191803,-0.6905553340911865]
11890;167;0;[0.3886905312538147,-0.9975506663322449,-0.5556308627128601,-0.41488760709762573,1.6708627939224243,-0.9980103373527527,0.47408536076545715,0.9028727412223816,-0.24577246606349945,-0.22428081929683685]
11891;168;0;[0.8993513584136963,-0.6102268695831299,-0.39428097009658813,-0.8630130290985107,1.1395189762115479,-0.846400797367096,0.8883761167526245,0.7027369737625122,0.192326158285141,0.10858558118343353]
11892;169;0;[1.1128685474395752,-0.29174014925956726,-0.9298689961433411,-1.055184245109558,1.4504717588424683,-1.3354829549789429,0.5027987957000732,0.4379211366176605,0.19535739719867706,0.15230758488178253]
